"id","name","country_code"
1,"Moscow","RU"
2,"London","GB"
3,"Saint Petersburg","RU"
4,"Berlin","DE"
5,"Madrid","ES"
6,"Kyiv","UA"
7,"Rome","IT"
8,"Paris","FR"
9,"Bucharest","RO"
10,"Minsk","BY"
11,"Budapest","HU"
12,"Hamburg","DE"
13,"Warsaw","PL"
14,"Vienna","AT"
15,"Barcelona","ES"
16,"Stockholm","SE"
17,"Kharkiv","UA"
18,"Novosibirsk","RU"
19,"Yekaterinburg","RU"
20,"Nizhniy Novgorod","RU"
21,"Belgrade","RS"
22,"Munich","DE"
23,"Milan","IT"
24,"Prague","CZ"
25,"Copenhagen","DK"
26,"Sofia","BG"
27,"Samara","RU"
28,"Omsk","RU"
29,"Kazan","RU"
30,"Rostov-na-Donu","RU"
31,"Chelyabinsk","RU"
32,"Ufa","RU"
33,"Dnipro","UA"
34,"Donetsk","UA"
35,"Dublin","IE"
36,"Brussels","BE"
37,"Volgograd","RU"
38,"Odessa","UA"
39,"Birmingham","GB"
40,"Perm","RU"
41,"Koeln","DE"
42,"Naples","IT"
43,"Krasnoyarsk","RU"
44,"Turin","IT"
45,"Liverpool","GB"
46,"Saratov","RU"
47,"Voronezh","RU"
48,"Valencia","ES"
49,"Zaporizhia","UA"
50,"Marseille","FR"
51,"Lodz","PL"
52,"Krakow","PL"
53,"Riga","LV"
54,"Amsterdam","NL"
55,"Nottingham","GB"
56,"Lviv","UA"
57,"Sevilla","ES"
58,"Tolyatti","RU"
59,"Zagreb","HR"
60,"Sarajevo","BA"
61,"Sheffield","GB"
62,"Zaragoza","ES"
63,"Athens","GR"
64,"Kryvyi Rih","UA"
65,"Frankfurt am Main","DE"
66,"Krasnodar","RU"
67,"Palermo","IT"
68,"Ulyanovsk","RU"
69,"Chisinau","MD"
70,"Wroclaw","PL"
71,"Izhevsk","RU"
72,"Bristol","GB"
73,"Yaroslavl","RU"
74,"Barnaul","RU"
75,"Rotterdam","NL"
76,"Essen","DE"
77,"Glasgow","GB"
78,"Stuttgart","DE"
79,"Dortmund","DE"
80,"Vladivostok","RU"
81,"Irkutsk","RU"
82,"Genoa","IT"
83,"Oslo","NO"
84,"Khabarovsk","RU"
85,"Khabarovsk Vtoroy","RU"
86,"Duesseldorf","DE"
87,"Goeteborg","SE"
88,"Poznan","PL"
89,"Malaga","ES"
90,"Helsinki","FI"
91,"Orenburg","RU"
92,"Pristina","XK"
93,"Bremen","DE"
94,"Vilnius","LT"
95,"Novokuznetsk","RU"
96,"Ryazan'","RU"
97,"Tyumen","RU"
98,"Lisbon","PT"
99,"Lipetsk","RU"
100,"Hannover","DE"
101,"Penza","RU"
102,"Mykolayiv","UA"
103,"Naberezhnyye Chelny","RU"
104,"Leicester","GB"
105,"Leipzig","DE"
106,"Kalininskiy","RU"
107,"Duisburg","DE"
108,"Astrakhan","RU"
109,"Nuernberg","DE"
110,"Makhachkala","RU"
111,"Dresden","DE"
112,"Tomsk","RU"
113,"Mariupol","UA"
114,"Gomel","BY"
115,"Kemerovo","RU"
116,"Skopje","MK"
117,"The Hague","NL"
118,"Lyon","FR"
119,"Tula","RU"
120,"Edinburgh","GB"
121,"Gdansk","PL"
122,"Antwerpen","BE"
123,"Kirov","RU"
124,"Leeds","GB"
125,"Luhansk","UA"
